url	page	country_code	region_name	report_date	type	row	col	sub_region_name	category	baseline_comparison	group	trend	date
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.3548069861120399	2020-03-27
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.4095678318732001	2020-03-28
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.44893003461679337	2020-03-29
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.39371361243475	2020-03-30
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.40519425823479294	2020-03-31
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.3983605319256879	2020-04-01
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.4221418744160041	2020-04-02
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.39945392866845025	2020-04-03
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.4428252572463869	2020-04-04
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.4406384637608621	2020-04-05
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.36975003937608003	2020-04-06
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.382324081918884	2020-04-07
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.35252907734233824	2020-04-08
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.2777226557400321	2020-04-09
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.7620964928314699	2020-04-10
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	1	1	NA	Retail & recreation	-0.4	1	-0.40136737630144576	2020-04-11
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.06104745394993187	2020-02-29
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.07435041876565952	2020-03-01
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.04655996377466616	2020-03-02
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.07371259844380373	2020-03-03
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.12464657560238274	2020-03-04
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.09129803494624766	2020-03-05
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.1421408834880094	2020-03-06
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.12236866683276497	2020-03-07
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.08191306734789974	2020-03-08
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.031161334090310206	2020-03-09
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.0862866409861458	2020-03-10
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.08264198962128533	2020-03-11
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.10842788169518153	2020-03-12
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.17257370838531463	2020-03-13
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.1969928445313244	2020-03-14
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.23872408465990252	2020-03-15
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.33357606876721646	2020-03-16
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.3472434947196369	2020-03-17
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.3179040798976988	2020-03-18
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.2508425374487345	2020-03-19
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.20018191947531855	2020-03-20
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.10706113909993882	2020-03-21
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.09712946646390863	2020-03-22
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.17430491211724883	2020-03-23
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.04091076282535092	2020-03-24
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.01904286796883447	2020-03-25
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.0170383183843797	2020-03-26
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.02204969901183915	2020-03-27
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.08501185316848163	2020-03-28
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.18733537057386088	2020-03-29
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.1277453614229646	2020-03-30
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.1343057285466536	2020-03-31
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.1293854498707266	2020-04-01
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.13494354886851204	2020-04-02
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.07116218331507171	2020-04-03
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.14123055680703933	2020-04-04
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.18104834930268984	2020-04-05
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.11826927854044317	2020-04-06
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.09722142124148583	2020-04-07
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.05694805232496767	2020-04-08
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	0.1542593362768414	2020-04-09
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.5545337389301149	2020-04-10
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	2	1	NA	Grocery & pharmacy	-0.02	1	-0.01713027316195823	2020-04-11
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	3	1	NA	Parks	-0.51	1	0.1776964462633585	2020-02-29
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	3	1	NA	Parks	-0.51	1	0.19683303549753303	2020-03-01
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	3	1	NA	Parks	-0.51	1	-0.005741393393331666	2020-03-02
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	3	1	NA	Parks	-0.51	1	-0.14006200735022398	2020-03-03
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	3	1	NA	Parks	-0.51	1	-0.15136169623064274	2020-03-04
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	3	1	NA	Parks	-0.51	1	-0.1860809338410376	2020-03-05
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	3	1	NA	Parks	-0.51	1	-0.06470031070034332	2020-03-06
https://www.gstatic.com/covid19/mobility/2020-04-11_AU_Mobility_Report_en.pdf	1	AU	Australia	2020-04-11	region	3	1	NA	Parks	-0.51	1	0.0975050361399158	2020-03-07
